County,Year,Murder,Rape,Assault,Burglary,Larceny,Auto_Theft,Total_Crime,Population,Violent_Offenses,NonViolent_Offenses
Sterling County,2019,0,0,1,3,8,2,15,1327,1,13
Sterling County,2020,0,0,4,5,8,3,20,1306,4,16
Stonewall County,2015,0,0,3,1,3,0,7,1384,3,4
Stonewall County,2016,0,0,2,4,0,1,7,1390,2,5
Stonewall County,2017,0,0,0,3,5,0,8,1414,0,8
Stonewall County,2018,0,0,4,1,2,0,7,1369,4,3
Stonewall County,2019,0,0,1,0,0,0,1,1338,1,0
Stonewall County,2020,0,0,2,0,0,0,2,1330,2,0
Sutton County,2015,0,1,6,6,23,2,38,3960,7,31
Sutton County,2016,0,2,0,15,29,0,46,3873,2,44
Sutton County,2017,0,4,1,10,29,2,46,3835,5,41
Sutton County,2018,0,2,4,1,24,2,34,3717,6,27
Sutton County,2019,0,1,0,3,7,5,16,3699,1,15
Sutton County,2020,0,1,5,11,6,3,26,3733,6,20
Swisher County,2015,0,4,48,37,60,7,157,6931,52,104
Swisher County,2016,0,9,38,29,88,2,169,6854,47,119
Swisher County,2017,0,2,17,22,92,8,144,6809,19,122
Swisher County,2018,0,3,31,38,94,10,179,7507,34,142
Swisher County,2019,0,4,25,40,115,8,199,6766,29,163
Swisher County,2020,0,3,42,19,105,9,180,6723,45,133
Tarrant County,2015,73,1033,4710,10871,44756,4196,67436,1929893,5816,59823
Tarrant County,2016,112,1140,4697,9892,41614,4538,64082,1957085,5949,56044
Tarrant County,2017,104,1157,4867,9380,41988,5250,64986,1992934,6128,56618
Tarrant County,2018,72,1104,4757,7868,38897,5543,60048,2027460,5933,52308
Tarrant County,2019,103,1102,4691,6994,37772,5959,58319,2050205,5896,50725
Tarrant County,2020,162,1071,6077,6295,37520,6494,59157,2071940,7310,50309
Taylor County,2015,7,90,433,1301,4006,409,6375,141963,530,5716
Taylor County,2016,8,78,365,1006,3317,261,5169,142175,451,4584
Taylor County,2017,5,118,432,1016,2798,272,4780,142900,555,4086
Taylor County,2018,8,147,416,805,2724,241,4446,142229,571,3770
Taylor County,2019,6,112,348,654,2462,217,3870,143159,466,3333
Taylor County,2020,4,150,371,496,2148,216,3448,143993,525,2860
Terrell County,2015,0,0,0,6,4,0,10,910,0,10
Terrell County,2016,2,0,0,3,8,1,14,805,2,12
Terrell County,2017,0,0,2,2,6,3,13,782,2,11
Terrell County,2018,0,0,0,0,0,0,0,783,0,0
Terry County,2015,1,9,37,82,187,12,330,12786,47,281
Terry County,2016,1,3,26,76,142,12,262,12716,30,230
Terry County,2017,0,1,23,39,116,17,200,12808,24,172
Terry County,2018,1,5,37,54,110,16,225,12684,43,180
Terry County,2019,0,6,20,41,89,21,177,12162,26,151
Terry County,2020,0,4,27,53,65,94,244,12258,31,212
Throckmorton County,2015,0,0,0,5,1,0,7,1606,0,6
Throckmorton County,2016,0,0,0,0,0,0,0,1564,0,0
Throckmorton County,2017,0,0,2,5,0,1,8,1515,2,6
Throckmorton County,2018,0,1,3,5,0,0,9,1508,4,5
Throckmorton County,2019,0,0,2,2,4,2,12,1491,2,8
Throckmorton County,2020,0,0,3,3,3,0,9,1481,3,6
Titus County,2015,0,16,83,169,583,23,891,32602,99,775
Titus County,2016,1,27,76,204,535,25,882,32571,104,764
Titus County,2017,3,35,90,158,579,26,899,32591,128,763
Titus County,2018,2,22,81,130,559,42,847,32882,105,731
Titus County,2019,2,29,95,128,457,43,768,32903,126,628
Titus County,2020,0,24,96,119,354,58,664,32675,120,531
Tom Green County,2015,2,96,263,806,3054,260,4507,118398,361,4120
Tom Green County,2016,6,90,260,1084,4109,312,5920,119295,356,5505
Tom Green County,2017,4,101,167,966,3625,302,5206,119598,272,4893
Tom Green County,2018,3,97,246,703,2792,264,4156,118773,346,3759
Tom Green County,2019,7,107,284,610,2632,258,3931,118416,398,3500
Tom Green County,2020,8,97,264,537,2361,346,3654,119778,369,3244
Travis County,2015,27,600,2654,6153,32555,2614,45635,1241359,3281,41322
Travis County,2016,53,851,2830,6398,30743,2457,44488,1261654,3734,39598
Travis County,2017,39,1010,2833,5457,29279,2410,42111,1286603,3882,37146
Travis County,2018,38,956,2718,5504,30780,2913,44005,1294044,3712,39197
Travis County,2019,37,753,3219,5332,33850,3553,47873,1313366,4009,42735
Travis County,2020,56,665,3813,5817,31680,4733,47970,1343839,4534,42230
Trinity County,2015,1,1,16,22,46,7,95,11441,18,75
Trinity County,2016,0,4,16,66,95,9,190,11555,20,170
Trinity County,2017,0,3,19,52,108,24,207,14384,22,184
Trinity County,2018,0,2,16,52,92,23,185,11860,18,167
Trinity County,2019,0,1,4,28,35,10,79,11881,5,73
Trinity County,2020,1,2,7,19,36,9,76,11841,10,64
Tyler County,2015,0,20,49,116,104,23,312,21379,69,243
Tyler County,2016,2,15,55,128,97,24,327,21202,72,249
Tyler County,2017,2,8,79,168,118,40,417,21228,89,326
Tyler County,2018,1,10,55,150,81,33,335,21447,66,264
Tyler County,2019,5,6,57,122,96,39,326,21552,68,257
Tyler County,2020,0,3,30,80,80,25,223,21588,33,185
Upshur County,2015,2,20,94,216,432,30,796,36982,116,678
Upshur County,2016,0,6,79,197,306,55,648,36993,85,558
Upshur County,2017,3,7,135,197,238,37,625,36607,145,472
Upshur County,2018,4,10,95,148,193,30,486,36833,109,371
Upshur County,2019,0,10,55,108,206,29,416,37915,65,343
Upshur County,2020,3,18,62,134,303,48,575,38510,83,485
Upton County,2015,0,1,3,2,6,1,14,3490,4,9
Upton County,2016,0,2,3,4,11,0,20,3706,5,15
Upton County,2017,0,1,7,2,18,0,28,3728,8,20
Upton County,2018,0,0,1,0,16,2,19,3703,1,18
Upton County,2019,0,0,2,3,25,3,33,3693,2,31
Upton County,2020,0,0,4,3,10,3,20,3682,4,16
Uvalde County,2015,0,15,50,181,718,26,996,27346,65,925
Uvalde County,2016,3,9,41,124,639,17,840,27327,53,780
Uvalde County,2017,1,4,31,108,596,14,765,27399,36,718
Uvalde County,2018,1,11,37,144,544,25,769,27156,49,713
Uvalde County,2019,2,10,53,106,588,23,786,26728,65,717
Uvalde County,2020,0,8,79,103,557,39,792,26684,87,699
Val Verde County,2015,1,2,75,195,880,33,1196,49073,78,1108
Val Verde County,2016,1,6,50,240,761,31,1102,48838,57,1032
Val Verde County,2017,1,12,37,181,594,21,857,48809,50,796
Val Verde County,2018,1,14,31,199,622,23,893,49099,46,844
Val Verde County,2019,2,13,42,153,497,47,764,48927,57,697
Val Verde County,2020,1,27,57,184,436,50,770,48864,85,670
Van Zandt County,2015,0,3,25,216,425,12,683,51647,28,653
Van Zandt County,2016,1,9,15,194,352,21,594,53576,25,567
Van Zandt County,2017,0,8,25,197,303,21,556,53114,33,521
Van Zandt County,2018,0,9,16,107,207,37,379,53916,25,351
Van Zandt County,2019,2,11,37,120,282,59,513,54595,50,461
Van Zandt County,2020,2,16,85,85,183,50,426,55326,103,318
Victoria County,2015,3,75,291,593,2014,138,3168,92373,369,2745
Victoria County,2016,5,70,225,678,2010,131,3185,93252,300,2819
Victoria County,2017,5,82,171,898,1971,153,3335,93339,258,3022
Victoria County,2018,9,84,256,497,1786,132,2815,92593,349,2415
Victoria County,2019,6,90,298,509,1713,169,2840,92120,394,2391
Victoria County,2020,6,56,315,450,1524,157,2561,92367,377,2131
Walker County,2015,3,51,172,286,809,82,1439,70341,226,1177
Walker County,2016,1,48,182,240,690,96,1289,70997,231,1026
Walker County,2017,4,48,152,193,575,118,1121,71970,204,886
Walker County,2018,1,39,145,181,631,71,1087,72631,185,883
Walker County,2019,0,34,189,176,640,94,1159,72570,223,910
Walker County,2020,1,32,163,154,612,94,1080,73266,196,860
Waller County,2015,4,26,169,180,498,49,956,46933,199,727
Waller County,2016,1,35,110,241,412,48,865,48644,146,701
Waller County,2017,2,33,108,210,404,53,826,50195,143,667
Waller County,2018,1,54,129,175,566,41,987,51297,184,782
Waller County,2019,3,40,91,154,469,72,852,52852,134,695
Waller County,2020,3,44,94,179,409,60,823,54943,141,648
Ward County,2015,1,5,49,143,258,40,502,11920,55,441
Ward County,2016,0,11,60,86,172,26,357,11924,71,284
Ward County,2017,0,14,55,55,127,14,268,11764,69,196
Ward County,2018,1,4,34,70,175,9,294,11572,39,254
Ward County,2019,1,8,50,56,280,18,417,11796,59,354
Ward County,2020,0,7,38,60,201,25,334,12125,45,286
Washington County,2015,0,16,55,145,358,31,620,34688,71,534
Washington County,2016,1,18,40,160,323,38,591,34873,59,521
Washington County,2017,2,10,136,128,275,36,591,35248,148,439
Washington County,2018,0,28,63,78,351,28,563,35139,91,457
Washington County,2019,0,26,109,110,355,36,644,35066,135,501
Washington County,2020,1,24,61,63,318,28,503,36010,86,409
Webb County,2015,8,147,723,1138,7451,328,9963,271250,878,8917
Webb County,2016,12,153,656,1116,6837,235,9174,272746,821,8188
Webb County,2017,10,125,599,931,5610,174,7605,269627,734,6715
Webb County,2018,10,156,658,795,5697,169,7630,272783,824,6661
Webb County,2019,6,121,609,771,3875,328,5879,272676,736,4974
Webb County,2020,12,98,662,706,3161,241,5037,274048,772,4108
Wharton County,2015,1,20,114,237,792,53,1231,41221,135,1082
Wharton County,2016,1,23,132,217,815,63,1268,41398,156,1095
Wharton County,2017,2,16,127,210,646,62,1086,41762,145,918
Wharton County,2018,3,17,111,163,527,39,868,41950,131,729
Wharton County,2019,1,18,103,177,559,61,944,41400,122,797
Wharton County,2020,2,9,119,159,561,84,949,41445,130,804
Wheeler County,2015,0,0,4,28,45,5,83,5807,4,78
Wheeler County,2016,0,0,9,20,49,3,82,5694,9,72
Wheeler County,2017,0,0,5,9,26,3,43,5566,5,38
Wheeler County,2018,0,0,0,11,24,6,41,5340,0,41
Wheeler County,2019,0,0,5,1,7,3,16,3325,5,11
Wheeler County,2020,0,1,1,3,9,0,15,3257,2,12
Wichita County,2015,2,95,248,1117,3239,232,5051,132787,345,4588
Wichita County,2016,9,130,245,989,3050,313,4862,131296,384,4352
Wichita County,2017,6,98,224,881,2687,288,4314,131707,328,3856
Wichita County,2018,6,95,230,742,2722,296,4231,131660,331,3760
Wichita County,2019,4,115,227,676,2688,278,4080,131269,346,3642
Wichita County,2020,9,87,318,728,2569,327,4119,131830,414,3624
Wilbarger County,2015,0,6,27,43,239,25,345,12871,33,307
Wilbarger County,2016,0,11,46,91,264,13,429,12896,57,368
Wilbarger County,2017,1,7,29,66,270,15,392,12780,37,351
Wilbarger County,2018,0,5,39,73,204,10,334,12625,44,287
Wilbarger County,2019,0,11,36,47,148,11,257,12657,47,206
Wilbarger County,2020,0,9,26,34,107,25,206,12647,35,166
Willacy County,2015,0,31,142,209,500,14,901,21877,173,723
Willacy County,2016,0,19,110,150,445,11,744,21779,129,606
Willacy County,2017,1,19,113,190,421,16,765,21722,133,627
Willacy County,2018,2,13,160,173,379,18,755,21433,175,570
Willacy County,2019,0,18,134,161,227,12,556,21293,152,400
Willacy County,2020,3,8,85,89,153,14,356,18660,96,256
Williamson County,2015,7,169,344,987,5124,201,6924,451632,520,6312
Williamson County,2016,1,169,386,1079,5439,308,7480,467610,556,6826
Williamson County,2017,2,188,405,929,5879,333,7833,488060,595,7141
Williamson County,2018,5,189,375,960,5474,270,7352,524366,569,6704
Williamson County,2019,8,178,319,804,4993,321,6710,540695,505,6118
Williamson County,2020,9,196,374,1125,5996,509,8329,565745,579,7630
Wilson County,2015,0,6,44,155,405,29,642,47369,50,589
Wilson County,2016,1,5,48,112,350,54,575,48311,54,516
Wilson County,2017,2,6,37,144,268,52,514,49385,45,464
Wilson County,2018,2,3,25,109,168,17,328,50118,30,294
Wilson County,2019,0,9,37,149,225,35,456,50870,46,409
Wilson County,2020,1,17,26,89,166,43,342,49534,44,298
Winkler County,2015,1,0,6,12,37,1,57,8034,7,50
Winkler County,2016,0,0,3,25,50,8,87,8180,3,83
Winkler County,2017,1,2,0,10,43,4,60,8031,3,57
Winkler County,2018,0,6,31,29,71,17,155,7627,37,117
Winkler County,2019,2,3,26,71,125,32,260,7756,31,228
Winkler County,2020,0,1,13,68,116,22,221,8094,14,206
Wise County,2015,2,17,60,148,480,75,785,62425,79,703
Wise County,2016,1,15,91,129,477,54,770,63563,107,660
Wise County,2017,2,37,92,142,442,49,768,65326,131,633
Wise County,2018,4,24,107,129,368,53,691,67071,135,550
Wise County,2019,3,23,76,146,463,59,777,69118,102,668
Wise County,2020,3,27,87,99,495,66,783,71069,117,660
Wood County,2015,0,4,43,173,423,48,695,43857,47,644
Wood County,2016,1,21,44,196,290,35,591,44208,66,521
Wood County,2017,0,21,52,160,298,34,568,45265,73,492
Wood County,2018,0,36,64,89,246,32,467,45237,100,367
Wood County,2019,0,41,46,111,249,48,501,45954,87,408
Wood County,2020,3,14,32,127,259,33,470,46493,49,419
Yoakum County,2015,0,4,4,25,91,3,127,8421,8,119
Yoakum County,2016,0,4,13,31,70,7,125,8668,17,108
Yoakum County,2017,0,4,4,16,49,7,80,8591,8,72
Yoakum County,2018,0,5,2,16,40,9,72,8653,7,65
Yoakum County,2019,0,2,2,33,39,9,85,8634,4,81
Yoakum County,2020,0,0,6,10,47,5,68,8785,6,62
Young County,2015,1,3,25,63,227,22,343,18346,29,312
Young County,2016,0,3,19,63,158,12,259,18162,22,233
Young County,2017,1,7,17,53,114,15,210,18069,25,182
Young County,2018,0,12,19,48,102,11,196,17853,31,161
Young County,2019,1,11,21,50,87,15,188,17873,33,152
Young County,2020,2,10,19,79,73,9,195,17893,31,161
Zapata County,2015,1,1,12,49,134,10,208,14417,14,193
Zapata County,2019,0,1,46,76,105,2,235,14114,47,183
Zapata County,2020,0,0,13,36,72,0,124,14142,13,108
Zavala County,2015,0,2,53,109,169,10,343,12432,55,288
Zavala County,2016,0,2,31,67,92,5,199,12306,33,164
Zavala County,2017,0,3,52,163,203,18,444,26443,55,384
Zavala County,2018,0,6,13,145,143,11,321,26263,19,299
Zavala County,2019,0,4,17,41,27,5,94,11940,21,73
Zavala County,2020,1,1,16,25,39,8,90,11813,18,72
