County,Year,Agency_Count,Murder,Rape,Assault,Burglary,Larceny,Auto_Theft,Violent_Offenses,NonViolent_Offenses,Total_Crime,Population
Hudspeth County,2020,1,0,1,1,5,6,4,2,15,17,5068
Hunt County,2015,6,0,40,162,543,1175,159,202,1877,2124,86037
Hunt County,2016,6,6,36,198,468,1112,168,240,1748,2036,87029
Hunt County,2017,5,7,59,209,420,962,154,275,1536,1851,87721
Hunt County,2018,5,3,55,300,255,828,113,358,1196,1569,89224
Hunt County,2019,5,7,40,399,308,978,168,446,1454,1938,91540
Hunt County,2020,5,2,45,360,187,786,188,407,1161,1601,93688
Hutchinson County,2015,2,0,30,69,212,412,43,99,667,776,19855
Hutchinson County,2016,2,0,18,39,204,347,45,57,596,657,19725
Hutchinson County,2017,2,2,32,29,180,374,46,63,600,666,19552
Hutchinson County,2018,2,0,16,31,98,409,47,47,554,605,19394
Hutchinson County,2019,2,0,18,32,103,253,25,50,381,435,19155
Hutchinson County,2020,3,0,11,35,125,268,42,46,435,482,20730
Irion County,2015,1,1,0,0,4,25,0,1,29,30,1568
Irion County,2016,1,0,0,1,9,20,0,1,29,30,1538
Irion County,2017,1,0,0,1,11,9,4,1,24,25,1546
Irion County,2018,1,0,1,3,7,20,3,4,30,34,1500
Irion County,2019,1,0,2,4,3,22,2,6,27,33,1502
Irion County,2020,1,0,0,1,1,8,4,1,13,14,1524
Jack County,2015,2,1,3,17,41,81,16,21,138,160,8834
Jack County,2016,2,0,6,17,37,72,15,23,124,147,8825
Jack County,2017,2,0,3,11,14,85,13,14,112,127,8691
Jack County,2018,2,1,1,10,22,58,24,12,104,116,8782
Jack County,2019,2,0,2,11,25,34,11,13,70,85,8768
Jack County,2020,2,0,3,13,19,48,9,16,76,92,8898
Jackson County,2015,3,0,5,21,50,154,6,26,210,239,14944
Jackson County,2016,3,0,6,26,53,141,9,32,203,238,14925
Jackson County,2017,3,1,5,8,46,117,13,14,176,194,14990
Jackson County,2018,3,0,8,11,49,99,11,19,159,180,14869
Jackson County,2019,3,1,4,9,29,92,13,14,134,150,14881
Jackson County,2020,3,0,5,22,57,110,21,27,188,220,14786
Jasper County,2015,3,0,33,91,186,595,38,124,819,948,35565
Jasper County,2016,3,0,28,88,266,422,44,116,732,858,35344
Jasper County,2017,2,1,35,90,225,391,45,126,661,798,33467
Jasper County,2018,3,2,21,67,165,445,56,90,666,762,35432
Jasper County,2019,3,3,18,84,241,469,78,105,788,895,35659
Jasper County,2020,2,2,18,83,184,364,96,103,644,751,33321
Jeff Davis County,2015,1,1,0,3,2,6,1,4,9,13,2174
Jeff Davis County,2016,1,0,1,1,8,0,0,2,8,10,2114
Jeff Davis County,2017,1,1,0,3,5,3,1,4,9,13,2175
Jeff Davis County,2018,1,1,1,3,1,4,1,5,6,11,2265
Jeff Davis County,2019,1,0,2,2,4,6,1,4,11,15,2227
Jeff Davis County,2020,1,0,0,2,4,5,2,2,11,13,2259
Jefferson County,2015,7,21,142,1074,2464,5870,465,1237,8799,10441,252206
Jefferson County,2016,7,20,144,1258,2321,5446,541,1422,8308,10245,253938
Jefferson County,2017,7,23,134,1275,2360,5635,699,1432,8694,10566,254794
Jefferson County,2018,7,27,151,1231,1718,4814,656,1409,7188,9075,256141
Jefferson County,2019,7,30,151,1196,1480,4578,591,1377,6649,8454,253726
Jefferson County,2020,7,35,153,1512,1508,4116,633,1700,6257,8367,250621
Jim Hogg County,2015,1,0,1,1,3,2,1,2,6,8,5257
Jim Hogg County,2016,1,0,0,2,4,5,0,2,9,11,5168
Jim Hogg County,2017,1,0,1,6,4,8,3,7,15,22,5118
Jim Hogg County,2018,1,0,0,4,4,9,0,4,13,18,5175
Jim Hogg County,2019,1,0,0,5,10,7,3,5,20,25,5210
Jim Hogg County,2020,1,0,2,10,18,12,4,12,34,46,5173
Jim Wells County,2015,4,4,18,179,422,940,49,201,1411,1619,40654
Jim Wells County,2016,4,0,27,178,549,1036,77,205,1662,1876,40448
Jim Wells County,2017,4,0,29,176,461,831,62,205,1354,1565,40243
Jim Wells County,2018,3,2,23,181,438,817,60,206,1315,1526,38534
Jim Wells County,2019,3,0,11,188,362,778,51,199,1191,1401,38341
Jim Wells County,2020,3,2,20,181,351,656,86,203,1093,1307,38123
Johnson County,2015,8,1,73,277,551,2094,171,351,2816,3194,166918
Johnson County,2016,8,2,67,261,555,1930,202,330,2687,3051,169233
Johnson County,2017,8,7,83,309,581,1868,251,399,2700,3124,173283
Johnson County,2018,8,5,93,340,376,1723,200,438,2299,2772,177347
Johnson County,2019,8,1,105,322,436,1502,238,428,2176,2642,181033
Johnson County,2020,9,4,86,360,352,1473,255,450,2080,2563,186315
Jones County,2015,5,0,4,17,76,137,23,21,236,258,14241
Jones County,2016,5,3,0,15,52,114,20,18,186,206,14217
Jones County,2017,5,2,4,35,70,97,15,41,182,226,14271
Jones County,2018,5,1,0,16,39,72,9,17,120,143,14250
Jones County,2019,5,0,2,9,46,79,8,11,133,145,14032
Jones County,2020,5,2,1,13,41,71,15,16,127,144,14308
Karnes County,2015,3,1,1,23,100,309,6,25,415,440,14949
Karnes County,2016,3,1,4,34,80,259,13,39,352,397,14954
Karnes County,2017,3,0,5,33,79,205,17,38,301,340,15306
Karnes County,2018,3,0,1,29,86,212,20,30,318,351,15189
Karnes County,2019,3,1,2,50,99,158,29,53,286,341,15650
Karnes County,2020,3,0,3,19,74,134,25,22,233,258,15629
Kaufman County,2015,5,2,48,150,549,1089,174,200,1812,2045,113178
Kaufman County,2016,5,2,52,190,453,1217,179,244,1849,2130,116406
Kaufman County,2017,5,3,55,181,448,1317,208,239,1973,2260,120595
Kaufman County,2018,5,6,72,150,320,1137,192,228,1649,1906,125280
Kaufman County,2019,7,4,53,144,413,1289,227,201,1929,2162,131039
Kaufman County,2020,7,5,55,149,343,1368,244,209,1955,2200,139629
Kendall County,2015,2,0,10,24,87,443,25,34,555,594,38550
Kendall County,2016,2,0,12,18,80,434,41,30,555,590,39764
Kendall County,2017,2,1,22,20,433,404,55,43,892,936,42011
Kendall County,2018,2,0,21,21,61,356,47,42,464,509,43365
Kendall County,2019,2,0,7,32,48,353,49,39,450,493,44724
Kendall County,2020,2,0,15,40,59,272,63,55,394,453,46604
Kenedy County,2015,1,0,1,0,2,1,1,1,4,5,397
Kenedy County,2016,1,0,3,3,3,2,2,6,7,13,404
Kenedy County,2017,1,0,0,3,0,3,0,3,3,6,402
Kenedy County,2018,1,0,0,2,1,2,2,2,5,7,416
Kenedy County,2019,1,0,0,0,2,3,3,0,8,8,442
Kenedy County,2020,1,0,0,2,0,3,7,2,10,12,402
Kent County,2015,1,0,0,2,3,12,0,2,15,20,781
Kent County,2016,1,0,0,3,5,5,0,3,10,13,754
Kent County,2017,1,0,0,0,1,3,0,0,4,4,762
Kent County,2018,1,0,1,1,0,8,1,2,9,11,755
Kent County,2019,1,0,0,4,2,3,0,4,5,9,711
Kent County,2020,1,0,0,0,4,4,0,0,8,8,754
Kerr County,2015,3,2,32,84,180,746,45,118,971,1095,50906
Kerr County,2016,3,8,28,81,180,715,46,117,941,1065,51069
Kerr County,2017,3,1,17,64,139,651,40,82,830,919,51765
Kerr County,2018,3,1,20,73,96,474,21,94,591,691,51882
Kerr County,2019,3,2,30,71,81,418,35,103,534,638,52432
Kerr County,2020,4,2,30,76,82,327,27,108,436,545,52759
Kimble County,2015,2,0,0,3,9,33,3,3,45,49,4413
Kimble County,2016,2,0,0,4,10,16,2,4,28,32,4336
Kimble County,2017,2,0,0,5,11,14,4,5,29,34,4391
Kimble County,2018,2,0,0,5,7,17,4,5,28,33,4371
Kimble County,2019,2,0,2,8,7,3,3,10,13,24,4306
Kimble County,2020,2,1,0,0,6,7,1,1,14,15,4294
King County,2015,1,0,0,0,3,1,0,0,4,4,257
King County,2016,1,0,0,0,0,0,0,0,0,0,280
King County,2017,1,0,0,0,0,0,0,0,0,0,290
King County,2018,1,0,0,0,0,0,0,0,0,0,296
Kinney County,2015,1,0,0,0,5,3,1,0,9,9,1882
Kinney County,2016,1,0,0,1,10,0,1,1,11,12,1880
Kinney County,2017,1,0,0,4,5,0,1,4,6,11,1913
Kinney County,2018,1,0,0,0,1,0,0,0,1,1,2008
Kinney County,2019,1,0,0,0,1,0,0,0,1,1,2007
Kinney County,2020,1,0,0,0,0,0,0,0,0,0,1977
Kleberg County,2015,3,1,2,118,237,754,38,121,1029,1158,32284
Kleberg County,2016,3,2,12,71,245,833,33,85,1111,1206,31723
Kleberg County,2017,3,1,14,124,244,774,36,139,1054,1217,31597
Kleberg County,2018,3,0,1,104,181,645,25,105,851,964,30869
Kleberg County,2019,3,3,31,101,209,612,28,135,849,998,30823
Kleberg County,2020,3,1,30,95,143,457,23,126,623,761,30429
Knox County,2015,3,0,1,9,42,28,3,10,73,83,5051
Knox County,2016,3,0,4,9,30,43,1,13,74,88,3876
Knox County,2017,3,0,2,6,17,16,2,8,35,43,3816
Knox County,2018,3,0,1,0,22,15,0,1,37,39,3698
Knox County,2019,3,0,2,1,24,14,5,3,43,46,3622
Knox County,2020,2,0,2,3,8,8,1,5,17,22,2390
La Salle County,2015,2,0,0,6,9,24,3,6,36,42,8233
La Salle County,2016,2,0,1,6,5,49,1,7,55,62,7763
La Salle County,2017,2,0,0,9,7,49,1,9,57,69,7731
La Salle County,2018,2,0,1,2,6,33,0,3,39,42,7664
La Salle County,2019,2,0,0,5,7,37,0,5,44,50,7565
La Salle County,2020,2,0,1,20,6,23,0,21,29,51,7565
Lamar County,2015,4,1,21,111,344,903,27,133,1274,1431,49552
Lamar County,2016,4,1,13,156,358,892,57,170,1307,1508,49221
Lamar County,2017,4,1,14,206,269,778,67,221,1114,1367,49735
Lamar County,2018,4,3,17,211,212,669,65,231,946,1202,49415
Lamar County,2019,4,1,41,228,222,608,70,270,900,1191,49404
Lamar County,2020,3,3,39,224,201,601,92,266,894,1176,49694
Lamb County,2015,3,0,11,38,100,177,20,49,297,350,12569
Lamb County,2016,3,0,5,48,68,139,25,53,232,287,12314
Lamb County,2017,3,0,9,39,51,104,18,48,173,222,12237
Lamb County,2018,4,0,10,35,51,135,15,45,201,248,13065
Lamb County,2019,4,0,9,30,72,134,17,39,223,266,12975
Lamb County,2020,4,2,3,34,91,140,22,39,253,293,12733
Lampasas County,2015,2,0,8,16,61,270,19,24,350,375,17743
Lampasas County,2016,2,0,8,17,84,378,12,25,474,499,18148
Lampasas County,2017,2,1,3,26,79,221,11,30,311,343,18344
Lampasas County,2018,3,0,9,23,55,197,5,32,257,290,19646
Lampasas County,2019,2,1,4,20,40,234,13,25,287,313,18657
Lampasas County,2020,3,0,4,31,71,229,21,35,321,356,20005
Lavaca County,2015,5,1,6,42,134,189,12,49,335,386,24187
Lavaca County,2016,5,0,4,25,107,136,8,29,251,286,22115
Lavaca County,2017,5,0,11,28,89,133,8,39,230,270,22095
Lavaca County,2018,5,1,13,31,50,101,10,45,161,206,22232
Lavaca County,2019,5,2,7,31,91,107,9,40,207,250,22191
Lavaca County,2020,5,0,4,25,92,103,11,29,206,236,22304
Lee County,2015,3,0,9,23,33,183,10,32,226,264,16814
Lee County,2016,3,0,6,26,42,189,10,32,241,281,16908
Lee County,2017,2,1,10,27,31,165,6,38,202,242,15918
Lee County,2018,2,1,12,21,24,123,12,34,159,195,16015
Lee County,2019,2,0,9,39,29,147,15,48,191,242,15906
Lee County,2020,2,1,13,23,35,121,19,37,175,214,16027
Leon County,2015,2,0,1,14,71,160,21,15,252,267,15824
Leon County,2016,2,0,2,26,87,129,15,28,231,259,15985
Leon County,2017,2,0,1,17,45,101,9,18,155,174,16230
Leon County,2018,2,1,0,19,47,100,15,20,162,182,16132
Leon County,2019,1,0,0,11,144,80,11,11,235,246,15395
Leon County,2020,2,0,2,4,51,86,7,6,144,151,15570
Liberty County,2015,4,7,46,241,398,1347,173,294,1918,2239,78882
Liberty County,2016,4,4,51,227,381,1140,178,282,1699,2005,80209
Liberty County,2017,3,0,17,96,95,531,62,113,688,823,25306
Liberty County,2018,4,2,53,192,333,927,175,247,1435,1706,84637
Liberty County,2019,4,2,54,159,382,1038,198,215,1618,1849,87220
Liberty County,2020,4,14,56,245,289,829,257,315,1375,1708,89450
Limestone County,2015,4,0,14,55,180,386,29,69,595,674,23586
Limestone County,2016,4,1,12,62,139,334,24,75,497,585,23220
Limestone County,2017,4,1,10,56,123,386,19,67,528,607,23442
Limestone County,2018,4,0,10,55,135,292,33,65,460,529,23466
Limestone County,2019,3,0,6,29,83,104,10,35,197,234,23373
Limestone County,2020,3,1,7,39,69,176,29,47,274,323,23349
Lipscomb County,2015,1,3,1,6,6,15,2,10,23,34,3632
Lipscomb County,2016,1,0,0,4,2,10,0,4,12,16,3618
Lipscomb County,2017,1,0,0,6,4,6,4,6,14,20,3519
Lipscomb County,2018,1,0,2,2,2,17,11,4,30,34,3383
Lipscomb County,2019,1,0,0,0,2,2,0,0,4,4,3344
Lipscomb County,2020,1,0,0,1,9,8,2,1,19,20,3217
Live Oak County,2015,3,0,2,26,71,124,18,28,213,242,15159
Live Oak County,2016,3,2,2,29,69,122,14,33,205,240,12333
Live Oak County,2017,3,0,2,28,78,69,14,30,161,193,12131
Live Oak County,2018,2,0,1,9,18,23,3,10,44,54,10274
Live Oak County,2019,2,0,1,3,1,9,2,4,12,17,4531
Live Oak County,2020,2,0,0,3,4,0,1,3,5,11,4535
Llano County,2015,3,0,2,12,85,152,7,14,244,258,16891
Llano County,2016,2,1,2,9,54,84,2,12,140,152,13696
Llano County,2017,2,0,2,6,53,81,7,8,141,150,14158
Llano County,2018,2,0,0,9,36,48,4,9,88,99,14804
Llano County,2019,3,1,3,26,41,98,16,30,155,185,18627
Llano County,2020,3,0,6,25,55,179,28,31,262,294,18771
Loving County,2015,1,0,0,0,2,5,0,0,7,7,88
Loving County,2016,1,0,0,0,0,10,1,0,11,11,121
Loving County,2017,1,0,0,0,0,1,0,0,1,1,121
Loving County,2018,1,0,0,0,0,17,0,0,17,17,145
Loving County,2019,1,0,0,1,3,16,3,1,22,23,164
Loving County,2020,1,0,0,2,1,15,1,2,17,19,183
Lubbock County,2015,7,17,218,1851,2935,9858,1029,2086,13822,16363,295523
Lubbock County,2016,8,7,198,2189,2934,9934,1145,2394,14013,16895,299889
Lubbock County,2017,8,14,183,2157,2664,9055,1384,2354,13103,15862,304082
Lubbock County,2018,9,14,269,1925,2475,8905,1250,2208,12630,15286,305394
Lubbock County,2019,10,13,292,1909,2560,8960,1313,2214,12833,15517,306337
Lubbock County,2020,9,32,260,2244,2541,7996,1263,2536,11800,14777,310348
Lynn County,2015,3,0,1,5,18,32,12,6,62,69,5872
Lynn County,2016,2,2,2,4,30,26,7,8,63,71,4987
Lynn County,2017,2,0,0,3,28,26,7,3,61,64,4990
Lynn County,2018,2,0,0,1,14,26,11,1,51,52,5130
Lynn County,2019,3,0,0,1,8,8,5,1,21,22,5951
Lynn County,2020,2,0,0,6,9,16,7,6,32,38,5216
Madison County,2015,2,0,10,24,76,187,22,34,285,325,13847
Madison County,2016,3,0,6,32,93,172,14,38,279,326,14012
Madison County,2017,3,0,2,49,86,119,5,51,210,263,13936
Madison County,2018,2,0,2,19,51,119,12,21,182,207,14174
Madison County,2019,2,0,1,22,40,34,21,23,95,122,14336
Madison County,2020,2,0,1,20,37,59,11,21,107,130,14214
Marion County,2015,2,0,1,52,92,123,11,53,226,281,10082
Marion County,2016,2,0,6,52,94,94,10,58,198,259,10064
Marion County,2017,2,4,6,65,75,89,22,75,186,264,10079
Marion County,2018,2,1,4,33,52,67,5,38,124,163,9977
Marion County,2019,2,0,0,17,40,37,10,17,87,109,9798
Marion County,2020,2,0,2,19,41,60,12,21,113,135,9753
Martin County,2015,2,0,0,12,22,72,6,12,100,113,5646
Martin County,2016,2,0,3,5,34,74,3,8,111,120,5806
Martin County,2017,2,1,1,2,4,42,9,4,55,59,5885
Martin County,2018,2,0,4,7,9,51,11,11,71,83,5739
Martin County,2019,2,0,2,6,13,63,10,8,86,95,5848
Martin County,2020,2,0,1,11,12,83,7,12,102,114,5870
Mason County,2015,1,0,2,2,9,18,3,4,30,34,4095
Mason County,2016,1,0,0,2,19,20,4,2,43,45,4024
Mason County,2017,1,0,0,6,2,11,2,6,15,21,4123
Mason County,2018,1,0,0,1,7,9,1,1,17,18,4242
Mason County,2019,1,0,1,7,4,5,1,8,10,18,4288
Mason County,2020,1,0,0,3,5,6,0,3,11,14,4290
Matagorda County,2015,4,1,14,70,327,813,17,85,1157,1262,36548
Matagorda County,2016,4,2,22,93,319,878,31,117,1228,1363,36674
Matagorda County,2017,4,3,16,124,271,726,27,143,1024,1201,37230
Matagorda County,2018,4,5,21,110,266,802,47,136,1115,1273,36756
Matagorda County,2019,5,0,40,116,250,839,53,156,1142,1310,36303
Matagorda County,2020,5,9,35,125,168,740,65,169,973,1158,36511
Maverick County,2015,2,1,2,97,319,1066,54,100,1439,1543,57798
Maverick County,2016,2,1,9,85,272,855,44,95,1171,1276,58200
Maverick County,2017,2,0,11,63,251,661,59,74,971,1054,58175
Maverick County,2018,2,1,4,55,162,530,21,60,713,786,58611
Maverick County,2019,2,1,4,39,270,705,73,44,1048,1099,58640
Maverick County,2020,2,4,2,77,246,572,78,83,896,986,59018
McCulloch County,2015,2,0,0,6,40,115,14,6,169,175,8212
McCulloch County,2016,2,1,0,3,22,100,6,4,128,132,8339
McCulloch County,2017,2,0,0,7,54,99,7,7,160,167,8154
McCulloch County,2018,2,0,0,4,18,64,10,4,92,97,7897
McCulloch County,2019,2,0,1,11,38,43,8,12,89,101,7907
McCulloch County,2020,2,0,4,14,44,36,15,18,95,114,7930
McLennan County,2015,15,23,149,698,1654,5697,280,870,7631,8673,242452
McLennan County,2016,15,6,207,682,1519,5299,294,895,7112,8189,243511
McLennan County,2017,15,5,203,742,1308,5306,303,950,6917,8009,246326
McLennan County,2018,15,3,210,714,1472,5036,490,927,6998,8067,249344
McLennan County,2019,16,14,161,749,1085,4969,553,924,6607,7688,253474
McLennan County,2020,16,15,155,861,1276,4986,592,1031,6854,8057,256173
McMullen County,2015,1,0,0,1,9,35,1,1,45,46,832
McMullen County,2016,1,0,0,1,12,14,0,1,26,27,841
McMullen County,2017,1,0,0,0,9,15,0,0,24,24,820
McMullen County,2018,1,0,0,1,5,12,1,1,18,19,787
McMullen County,2019,1,0,0,0,1,10,1,0,12,12,749
McMullen County,2020,1,0,0,0,4,5,0,0,9,9,744
Medina County,2015,5,2,23,68,171,664,43,93,878,982,48191
Medina County,2016,5,2,36,90,217,617,50,128,884,1016,46994
Medina County,2017,5,2,26,71,204,651,81,99,936,1039,47980
Medina County,2018,5,1,31,79,166,540,67,111,773,890,48678
Medina County,2019,5,2,23,122,139,445,101,147,685,840,49360
Medina County,2020,5,2,21,84,158,442,82,107,682,798,50179
Menard County,2015,1,0,0,0,0,6,0,0,6,6,2131
Menard County,2016,1,0,0,0,2,2,0,0,4,4,2144
Menard County,2017,1,0,0,1,3,2,0,1,5,6,2103
Menard County,2018,1,0,0,1,13,0,0,1,13,14,2103
Menard County,2019,1,0,0,2,1,0,0,2,1,4,2115
Menard County,2020,1,0,0,1,0,0,0,1,0,1,2121
Midland County,2015,3,9,46,374,838,3032,278,429,4148,4652,159263
Midland County,2016,3,3,25,359,730,3099,276,387,4105,4591,163828
Midland County,2017,3,2,37,328,527,2391,311,367,3229,3660,165043
Midland County,2018,3,9,63,381,464,2470,389,453,3323,3843,166949
Midland County,2019,3,4,37,283,236,1838,392,324,2466,2813,174343
Midland County,2020,3,13,89,511,507,2713,672,613,3892,4558,179087
Milam County,2015,4,1,1,43,144,362,18,45,524,576,24202
Milam County,2016,4,0,8,45,131,299,17,53,447,502,24409
Milam County,2017,4,2,5,50,109,256,15,57,380,440,24879
Milam County,2018,4,1,8,44,86,197,24,53,307,364,25040
Milam County,2019,4,2,5,32,65,194,34,39,293,334,25033
Milam County,2020,4,1,6,37,93,164,22,44,279,325,24757
Mills County,2015,1,0,0,0,12,27,1,0,40,40,4861
Mills County,2016,1,0,0,2,10,14,2,2,26,28,4875
Mills County,2017,1,0,0,2,12,8,2,2,22,24,4895
Mills County,2018,1,0,0,2,6,7,1,2,14,16,4901
Mills County,2019,1,0,1,14,12,9,0,15,21,36,4884
Mills County,2020,1,0,1,9,4,9,0,10,13,23,4846
Mitchell County,2015,2,1,0,8,53,42,6,9,101,110,9016
Mitchell County,2016,2,0,1,7,46,57,5,8,108,117,8973
Mitchell County,2017,2,0,2,8,62,117,8,10,187,197,8601
Mitchell County,2018,2,0,0,6,45,98,8,6,151,158,8319
Mitchell County,2019,2,0,0,12,45,96,14,12,155,169,7950
Mitchell County,2020,2,0,0,11,21,57,3,11,81,93,8427
Montague County,2015,3,0,5,26,101,258,27,31,386,420,18366
Montague County,2016,3,0,3,23,86,290,29,26,405,436,18112
Montague County,2017,3,0,4,54,115,210,26,58,351,412,18331
Montague County,2018,3,0,4,36,85,132,22,40,239,285,18448
Montague County,2019,3,0,7,54,107,131,9,61,247,311,18444
Montague County,2020,3,0,5,20,72,122,10,25,204,232,18733
Montgomery County,2015,13,7,252,717,1829,6018,788,976,8635,9817,531732
Montgomery County,2016,13,12,108,558,1509,5775,724,678,8008,8886,547297
Montgomery County,2017,13,22,155,528,1088,5030,740,705,6858,7735,567199
Montgomery County,2018,12,14,190,765,1368,5650,707,969,7725,8891,580733
Montgomery County,2019,11,14,147,811,1539,5733,779,972,8051,9192,598274
Montgomery County,2020,12,17,116,792,1109,5409,762,925,7280,8361,616505
Moore County,2015,3,1,13,51,117,320,17,65,454,520,22235
Moore County,2016,3,0,3,35,85,240,20,38,345,384,22241
Moore County,2017,3,1,8,37,73,252,37,46,362,410,22118
Moore County,2018,3,0,7,32,49,233,37,39,319,359,22048
Moore County,2019,3,2,11,34,62,223,50,47,335,384,21287
Moore County,2020,3,0,11,32,52,250,57,43,359,403,20755
Morris County,2015,5,3,6,32,74,152,21,41,247,291,12721
Morris County,2016,5,1,7,25,86,196,24,33,306,344,12395
Morris County,2017,5,2,3,41,63,127,10,46,200,248,12521
Morris County,2018,5,0,7,43,42,86,8,50,136,187,12363
Morris County,2019,5,0,4,22,37,103,12,26,152,183,12185
Morris County,2020,5,0,5,36,30,76,16,41,122,165,12283
Motley County,2015,1,0,0,1,1,15,1,1,17,18,1142
Motley County,2016,1,0,0,0,0,13,1,0,14,14,1133
Motley County,2017,1,0,1,2,7,5,2,3,14,17,1152
Motley County,2018,1,0,0,1,1,3,0,1,4,5,1231
Motley County,2019,1,0,1,0,1,2,0,1,3,4,1230
Motley County,2020,1,0,0,0,0,1,0,0,1,1,1196
Nacogdoches County,2015,3,1,30,111,291,928,50,142,1269,1423,65612
Nacogdoches County,2016,3,1,48,115,279,856,62,164,1197,1390,65672
Nacogdoches County,2017,3,2,35,97,237,957,44,134,1238,1398,65930
Nacogdoches County,2018,3,4,26,109,302,966,61,139,1329,1498,65526
Nacogdoches County,2019,4,4,26,119,249,832,97,149,1178,1355,65428
Nacogdoches County,2020,4,3,40,129,216,976,91,172,1283,1471,65040
Navarro County,2015,2,0,34,103,401,918,55,137,1374,1546,46835
Navarro County,2016,2,0,34,108,277,734,65,142,1076,1254,46702
Navarro County,2017,2,0,28,108,158,554,37,136,749,906,47029
Navarro County,2018,3,4,39,134,263,728,65,177,1056,1248,47157
Navarro County,2019,5,2,63,155,199,715,71,220,985,1225,49469
Navarro County,2020,5,2,32,143,252,648,76,177,976,1170,50198
Newton County,2015,1,0,0,20,21,27,6,20,54,74,14095
Newton County,2016,1,0,0,2,15,10,1,2,26,28,2390
Newton County,2017,2,0,0,12,42,43,12,12,97,109,13918
Newton County,2018,2,1,0,22,43,55,20,23,118,142,13844
Newton County,2019,2,0,4,23,64,59,13,27,136,164,13575
Newton County,2020,2,3,3,16,47,44,11,22,102,125,13458
Nolan County,2015,3,0,7,56,127,337,13,63,477,544,13769
Nolan County,2016,3,1,3,38,213,379,30,42,622,676,13712
Nolan County,2017,3,0,3,48,179,202,32,51,413,465,13621
Nolan County,2018,3,0,7,47,154,168,18,54,340,399,13375
Nolan County,2019,3,0,2,29,124,169,18,31,311,346,13321
Nolan County,2020,2,0,3,22,61,102,6,25,169,194,13327
Nueces County,2015,7,21,306,1684,2445,9424,565,2011,12434,14857,361083
Nueces County,2016,7,29,274,1882,2589,10072,719,2185,13380,16002,362634
Nueces County,2017,8,24,250,1783,2534,9591,783,2057,12908,15456,364584
Nueces County,2018,8,30,319,1925,2398,9775,984,2274,13157,15960,363284
Nueces County,2019,8,33,301,2129,2151,9178,946,2463,12275,15253,362810
Nueces County,2020,8,38,273,2173,2193,8393,933,2484,11519,14494,363576
Ochiltree County,2015,2,0,4,20,26,78,13,24,117,141,10934
Ochiltree County,2016,2,0,1,47,33,70,8,48,111,159,10834
Ochiltree County,2017,2,0,0,41,39,86,17,41,142,183,10319
Ochiltree County,2018,2,0,6,27,60,124,9,33,193,226,10033
Ochiltree County,2019,2,0,2,9,31,86,9,11,126,137,9860
Ochiltree County,2020,2,0,4,19,17,82,10,23,109,132,9768
Oldham County,2015,1,0,0,1,6,12,3,1,21,23,2080
Oldham County,2016,1,0,0,3,5,3,0,3,8,11,2067
Oldham County,2017,1,0,0,2,7,14,2,2,23,25,2078
Oldham County,2018,1,0,0,2,2,3,1,2,6,8,2117
Oldham County,2019,1,0,0,0,4,2,0,0,6,6,2128
Oldham County,2020,1,0,0,2,5,7,3,2,15,17,2112
Orange County,2015,6,5,17,252,527,1152,152,274,1831,2186,83455
Orange County,2016,6,4,11,215,509,1180,209,230,1898,2185,83938
Orange County,2017,6,4,14,213,396,896,182,231,1474,1766,84843
Orange County,2018,6,2,44,155,396,820,172,201,1388,1618,84711
Orange County,2019,6,1,29,162,369,820,162,192,1351,1570,82765
Orange County,2020,6,2,23,173,363,691,177,198,1231,1458,82779
Palo Pinto County,2015,2,0,10,25,144,470,39,35,653,695,28819
Palo Pinto County,2016,2,0,1,53,193,492,59,54,744,802,27909
Palo Pinto County,2017,2,0,1,10,74,72,9,11,155,166,28162
Palo Pinto County,2018,2,0,5,39,153,298,46,44,497,551,28717
Palo Pinto County,2019,2,1,12,22,176,318,43,35,537,576,28960
Palo Pinto County,2020,2,1,13,42,197,385,64,56,646,707,29378
Panola County,2015,2,2,4,61,128,452,29,67,609,683,23553
Panola County,2016,2,0,3,42,133,427,46,45,606,657,23430
Panola County,2017,2,2,3,61,107,383,42,66,532,603,23159
Panola County,2018,2,2,16,49,123,336,18,67,477,549,22846
Panola County,2019,2,3,13,52,99,321,34,68,454,527,22672
Panola County,2020,2,0,10,56,91,317,24,66,432,500,22784
Parker County,2015,4,1,45,120,421,1035,89,166,1545,1726,120339
Parker County,2016,5,1,41,117,370,1104,99,159,1573,1745,125461
Parker County,2017,5,4,45,102,409,1211,96,151,1716,1879,129303
Parker County,2018,6,2,58,163,324,1157,128,223,1609,1850,133333
Parker County,2019,6,3,49,116,272,1015,147,168,1434,1616,137932
Parker County,2020,6,3,55,159,265,1128,162,217,1555,1790,143060
Parmer County,2015,4,1,1,4,25,54,10,6,89,95,9837
Parmer County,2016,4,0,2,6,35,49,7,8,91,99,9619
Parmer County,2017,4,0,4,16,33,35,6,20,74,94,9686
Parmer County,2018,4,0,2,11,16,26,9,13,51,66,9756
Parmer County,2019,4,0,1,7,17,27,10,8,54,63,9753
Parmer County,2020,4,0,1,12,14,35,7,13,56,69,9502
Pecos County,2015,2,1,9,35,90,289,21,45,400,452,16019
Pecos County,2016,2,1,6,45,88,182,11,52,281,335,16294
Pecos County,2017,2,1,7,33,54,164,11,41,229,273,16028
Pecos County,2018,2,1,3,59,67,119,13,63,199,264,15607
Pecos County,2019,2,0,3,24,41,103,26,27,170,198,15594
